"Table","IndexName","Side","SourceSignature","DestSignature"
"dbo.BackgroundJob",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLog",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLogExtractedParameters",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobLogExtractedParameters",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobSchedule",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobSchedule",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobSequenceRunTracker",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundJobSequenceRunTracker",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundTaskDefinition",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundTaskDefinition",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundTaskParamDefinition",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackgroundTaskParamDefinition",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackOfficePrintLocation",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BackOfficePrintLocation",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
