"Table","Location"
"dbo.AssignedSexAndGenderIdentityConfiguration","Both"
"dbo.AssignedSexComplianceCode","Both"
"dbo.AssignedSexComplianceCodeCulture","Both"
"dbo.AssignedSexCountryAware","Both"
"dbo.AssignedSexCountryAwareCulture","Both"
"dbo.AttendanceGrade","Both"
"dbo.AttendanceGradeCulture","Both"
"dbo.AttendanceGradeTrack","Both"
"dbo.AttendanceGradeTrackCulture","Both"
"dbo.AttendanceIncidentType","Both"
"dbo.AttendanceIncidentTypeCulture","Both"
"dbo.AttendanceIncidentTypePayCode","Both"
"dbo.AttendancePolicy","Both"
"dbo.AttendancePolicyCulture","Both"
"dbo.AttendancePolicyDecrement","Both"
"dbo.AttendancePolicyDecrementCascade","Both"
"dbo.AttendancePolicyDecrementCondition","Both"
"dbo.AttendancePolicyElementValue","Both"
"dbo.AttendancePolicyElementValueAudit","Both"
"dbo.AttendancePolicyGrade","Both"
"dbo.AttendancePolicyGradeCondition","Both"
"dbo.AttendancePolicyGradeThreshold","Both"
"dbo.AttendancePolicyIncidentType","Both"
"dbo.AttendancePolicyViolation","Both"
"dbo.AttendancePolicyViolationCondition","Both"
"dbo.AttendanceRulePolicy","Both"
"dbo.AttendanceRulePolicyCulture","Both"
"dbo.AttendanceRulePolicyDecrementCascade","Both"
"dbo.AttendanceRulePolicyDecrementElementValue","Both"
"dbo.AttendanceRulePolicyDecrementElementValueAudit","Both"
"dbo.AttendanceRulePolicyDecrementQualifier","Both"
"dbo.AttendanceRulePolicyDecrementQualifierAudit","Both"
"dbo.AttendanceRulePolicyDecrementQualifierCulture","Both"
"dbo.AttendanceRulePolicyDecrementRule","Both"
"dbo.AttendanceRulePolicyDecrementRuleAudit","Both"
"dbo.AttendanceRulePolicyDecrementRuleCulture","Both"
"dbo.AttendanceRulePolicyDecrementRuleSet","Both"
"dbo.AttendanceRulePolicyDecrementRuleSetAudit","Both"
"dbo.AttendanceRulePolicyDecrementRuleSetCulture","Both"
"dbo.AttendanceRulePolicyGradeElementValue","Both"
"dbo.AttendanceRulePolicyGradeElementValueAudit","Both"
"dbo.AttendanceRulePolicyGradeQualifier","Both"
"dbo.AttendanceRulePolicyGradeQualifierAudit","Both"
"dbo.AttendanceRulePolicyGradeQualifierCulture","Both"
"dbo.AttendanceRulePolicyGradeRule","Both"
"dbo.AttendanceRulePolicyGradeRuleAudit","Both"
"dbo.AttendanceRulePolicyGradeRuleCulture","Both"
"dbo.AttendanceRulePolicyGradeRuleSet","Both"
"dbo.AttendanceRulePolicyGradeRuleSetAudit","Both"
"dbo.AttendanceRulePolicyGradeRuleSetCulture","Both"
"dbo.AttendanceRulePolicyIncidentTypeElementValue","Both"
"dbo.AttendanceRulePolicyIncidentTypeElementValueAudit","Both"
"dbo.AttendanceRulePolicyIncidentTypeQualifier","Both"
