"SqlInstance","JobName","LastRunStatus","LastRunDate","LastRunDuration","Enabled","Notes"
"azg5stgsql001","ADM - Full Recovery Mode Verification-Update","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5stgsql001","DatabaseFULLBackup_Preprod","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5stgsql001","DatabaseFULLBackupEVAULT","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5stgsql001","DatabaseFULLBackupEVAULT_BIServer","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5stgsql002",,,,,,"No matching jobs found"
"azg5supscb001","DatabaseFULLBackup_NonProd_Azure","Failed","5/11/2026 8:25:01 PM",,"True",
"azg5supscb002","DatabaseFULLBackup_NonProd_Azure","Failed","5/11/2026 8:25:00 PM",,"True",
"azg5supscb003","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:00 PM",,"True",
"azg5supsql020",,,,,,"No matching jobs found"
"azg5supsql021",,,,,,"No matching jobs found"
"azg5supsql022",,,,,,"No matching jobs found"
"azg5supsql023",,,,,,"No matching jobs found"
"azg5supsql024",,,,,,"No matching jobs found"
"azg5supsql025",,,,,,"No matching jobs found"
"azg5supsql026",,,,,,"No matching jobs found"
"azg5supsql027",,,,,,"No matching jobs found"
"azg5supsql028",,,,,,"No matching jobs found"
"azg5supsql029",,,,,,"No matching jobs found"
"azg5supsql030",,,,,,"No matching jobs found"
"azg5supsql031",,,,,,"No matching jobs found"
"azg5supsql032",,,,,,"No matching jobs found"
"azg5supsql033",,,,,,"No matching jobs found"
"azg5supsql034",,,,,,"No matching jobs found"
"azg5supsql035",,,,,,"No matching jobs found"
"azg5supsql036",,,,,,"No matching jobs found"
"azg5supsql037",,,,,,"No matching jobs found"
"azg5supsql038",,,,,,"No matching jobs found"
"azg5supsql039",,,,,,"No matching jobs found"
"azg5supsql040",,,,,,"No matching jobs found"
"azg5supsql041",,,,,,"No matching jobs found"
"azg5supsql042",,,,,,"No matching jobs found"
"azg5vansql002",,,,,,"No matching jobs found"
"azg9imgsqltst1",,,,,,"No matching jobs found"
"azg9opssql001",,,,,,"No matching jobs found"
"azg9tmnsql006",,,,,,"No matching jobs found"
"azg9tstsql041",,,,,,"No matching jobs found"
